0,0,0,2,4461,63581743
1,0,0,0,0,132761049
2,0,0,0,0,921317019
3,0,0,2,38690,727598473
4,0,0,0,0,450221861
5,0,0,2,19217,743146596
6,1,2946,0,0,871024631
7,0,0,0,0,792300541
8,1,6477,1,3295,7945239
9,0,0,0,0,3577610
10,1,4021,1,2374,892208080
11,1,2501,0,0,77382913
12,0,0,0,0,856886560
13,1,6077,0,0,308455362
14,0,0,0,0,989828809
15,0,0,2,5028,376482434
16,1,1267,0,0,665591504
17,0,0,0,0,713692930
18,1,2920,0,0,588888550
19,0,0,0,0,140015922
20,1,4111,2,44857,162166370
21,0,0,0,0,884513944
22,0,0,0,0,627708979
23,0,0,0,0,116375554
24,1,6857,2,8935,235358484
25,1,3627,0,0,528040687
26,0,0,1,8250,652572577
27,0,0,0,0,410873772
28,0,0,3,3338,254362485
29,0,0,1,2119,69165559
30,1,5247,0,0,201327208
31,0,0,0,0,573751437
32,1,4486,0,0,483050926
33,0,0,0,0,146989842
34,0,0,0,0,742435591
35,0,0,2,38127,915517588
36,1,4901,0,0,756785495
37,0,0,0,0,66662029
38,0,0,0,0,294816298
39,0,0,0,0,686791659
40,0,0,2,1431,269341556
41,0,0,0,0,396972296
42,0,0,0,0,364483168
43,0,0,0,0,866093378
44,0,0,0,0,515421877
45,0,0,0,0,173737852
46,0,0,0,0,745183922
47,0,0,0,0,298271736
48,0,0,0,0,70821537
49,0,0,0,0,258951025
50,0,0,0,0,807174588
51,0,0,0,0,514538041
52,0,0,0,0,25561360
53,0,0,0,0,753037176
54,0,0,2,2981,883748009
55,0,0,0,0,31827166
56,0,0,0,0,680782638
57,0,0,0,0,883604551
58,0,0,0,0,714473703
59,0,0,0,0,213057541
60,1,6100,1,26104,885280620
61,0,0,0,0,931739722
62,1,6195,0,0,939401184
63,0,0,2,2045,840809480
64,1,8841,1,7838,800426023
65,0,0,0,0,14827139
66,1,2117,2,27877,212687745
67,1,1230,0,0,224701093
68,0,0,5,1554,401200262
69,1,3532,0,0,926073051
70,1,866,3,7896,45830738
71,0,0,0,0,997497927
72,1,7786,3,24767,862203239
73,0,0,0,0,116102677
74,1,5426,0,0,635101571
75,0,0,1,25276,793404097
76,1,4148,3,8890,62434528
77,0,0,2,34351,935079846
78,0,0,0,0,948288985
79,0,0,3,4307,396323054
80,0,0,0,0,299024508
81,0,0,2,25106,39392545
82,0,0,0,0,536604822
83,0,0,0,0,429992959
84,0,0,0,0,160577728
85,1,2371,0,0,108385737
86,1,4178,2,42342,414142186
87,0,0,2,8363,421217157
88,1,4804,1,2718,935010485
89,0,0,0,0,537840281
90,1,1354,1,1212,748139140
91,0,0,1,8350,601118153
92,0,0,1,9115,808304017
93,0,0,0,0,803325269
94,0,0,0,0,701235200
95,0,0,0,0,916609661
96,0,0,0,0,469714824
97,0,0,2,3157,46606719
98,1,2425,0,0,454040458
99,0,0,0,0,951246359
100,0,0,0,0,389315422
101,0,0,0,0,180660768
102,0,0,0,0,184578161
103,0,0,2,969,59798468
